date,pib__Série encadeada do índice de volume trimestral (Base: média 1995 = 100) - PIB a preços de mercado,pib_setorial_variacao__Taxa acumulada ao longo do ano (em relação ao mesmo período do ano anterior) - Construção,pib_setorial_variacao__Taxa acumulada ao longo do ano (em relação ao mesmo período do ano anterior) - Indústria - total,pib_setorial_variacao__Taxa acumulada ao longo do ano (em relação ao mesmo período do ano anterior) - Indústrias de transformação,pib_setorial_variacao__Taxa acumulada ao longo do ano (em relação ao mesmo período do ano anterior) - Indústrias extrativas,pib_setorial_variacao__Taxa acumulada ao longo do ano (em relação ao mesmo período do ano anterior) - PIB a preços de mercado,pib_setorial_variacao__Taxa acumulada em quatro trimestres (em relação ao mesmo período do ano anterior) - Construção,pib_setorial_variacao__Taxa acumulada em quatro trimestres (em relação ao mesmo período do ano anterior) - Indústria - total,pib_setorial_variacao__Taxa acumulada em quatro trimestres (em relação ao mesmo período do ano anterior) - Indústrias de transformação,pib_setorial_variacao__Taxa acumulada em quatro trimestres (em relação ao mesmo período do ano anterior) - Indústrias extrativas,pib_setorial_variacao__Taxa acumulada em quatro trimestres (em relação ao mesmo período do ano anterior) - PIB a preços de mercado,pib_setorial_variacao__Taxa trimestral (em relação ao mesmo período do ano anterior) - Construção,pib_setorial_variacao__Taxa trimestral (em relação ao mesmo período do ano anterior) - Indústria - total,pib_setorial_variacao__Taxa trimestral (em relação ao mesmo período do ano anterior) - Indústrias de transformação,pib_setorial_variacao__Taxa trimestral (em relação ao mesmo período do ano anterior) - Indústrias extrativas,pib_setorial_variacao__Taxa trimestral (em relação ao mesmo período do ano anterior) - PIB a preços de mercado,pib_setorial_variacao__Taxa trimestre contra trimestre imediatamente anterior - Construção,pib_setorial_variacao__Taxa trimestre contra trimestre imediatamente anterior - Indústria - total,pib_setorial_variacao__Taxa trimestre contra trimestre imediatamente anterior - Indústrias de transformação,pib_setorial_variacao__Taxa trimestre contra trimestre imediatamente anterior - Indústrias extrativas,pib_setorial_variacao__Taxa trimestre contra trimestre imediatamente anterior - PIB a preços de mercado,pib_setorial_corrente__Valores a preços correntes - Construção,pib_setorial_corrente__Valores a preços correntes - Impostos líquidos sobre produtos,pib_setorial_corrente__Valores a preços correntes - Indústria - total,pib_setorial_corrente__Valores a preços correntes - Indústrias de transformação,pib_setorial_corrente__Valores a preços correntes - Indústrias extrativas,pib_setorial_corrente__Valores a preços correntes - PIB a preços de mercado,pib_setorial_corrente__Valores a preços correntes - Valor adicionado a preços básicos,pib_setorial_encadeado__Valores encadeados a preços de 1995 - Construção,pib_setorial_encadeado__Valores encadeados a preços de 1995 - Indústria - total,pib_setorial_encadeado__Valores encadeados a preços de 1995 - Indústrias de transformação,pib_setorial_encadeado__Valores encadeados a preços de 1995 - Indústrias extrativas,pib_setorial_encadeado__Valores encadeados a preços de 1995 - PIB a preços de mercado,contas_economicas__(+) Cessão de ativos não financeiros não produzidos (aquisições líquidas),contas_economicas__(+) Outras transferências correntes (líquidas recebidas do exterior),contas_economicas__(+) Rendas de propriedade (líquidas recebidas do exterior),contas_economicas__(+) Salários (líquidos recebidos do exterior),contas_economicas__(+) Transferências de capital (líquidas recebidas do exterior),contas_economicas__(-) Despesa de consumo final,contas_economicas__(-) Formação bruta de capital,contas_economicas__(=) Capacidade / necessidade líquida de financiamento,contas_economicas__(=) Poupança bruta,contas_economicas__(=) Renda nacional bruta,contas_economicas__(=) Renda nacional disponível bruta,contas_economicas__Produto Interno Bruto
2015-07-01,169.72,-9.1,-4.9,-7.6,8.7,-2.9,-7.8,-4.2,-7.2,9.3,-2.2,-6.8,-5.8,-9.8,5.0,-4.3,-1.4,-2.0,-3.0,-1.7,-1.6,76557,210534,307138,166931,31533,1508228,1297695,17128.91,59121.89,31940.26,2611.64,299550.71,442.0,2171.0,-31473.0,302.0,84.0,1247522.0,267812.0,-35581.0,231705.0,1477056.0,1479227.0,1508228.0
2015-10-01,166.15,-9.0,-5.8,-8.5,5.7,-3.5,-9.0,-5.8,-8.5,5.7,-3.5,-8.7,-8.3,-11.3,-2.5,-5.5,-1.4,-1.7,-1.9,-4.0,-0.8,74449,216654,291501,162433,22992,1550930,1334277,16726.35,55990.93,29298.63,2476.66,293254.26,646.0,3406.0,-30808.0,298.0,4.0,1341789.0,207725.0,-25039.0,182037.0,1520420.0,1523826.0,1550930.0
2016-01-01,161.87,-9.2,-7.4,-9.5,-7.2,-5.1,-8.9,-6.6,-9.3,0.9,-4.4,-9.2,-7.4,-9.5,-7.2,-5.1,-2.0,-0.2,-0.2,0.1,-1.4,68363,212802,262129,149072,11406,1500299,1287497,15932.89,52862.54,27215.77,2279.28,285698.02,276.0,2664.0,-39938.0,234.0,70.0,1259341.0,241413.0,-37150.0,203918.0,1460595.0,1463259.0,1500299.0
2016-04-01,163.75,-8.8,-5.7,-7.0,-5.6,-4.2,-8.2,-6.4,-8.9,-2.2,-4.5,-8.2,-3.9,-4.5,-4.0,-3.2,-3.5,-0.6,0.6,0.6,0.3,69034,211136,286431,170126,11559,1559050,1347914,15425.8,54703.79,29022.55,2418.27,289020.65,-2.0,2317.0,-25975.0,256.0,88.0,1298883.0,244783.0,-7933.0,236764.0,1533331.0,1535647.0,1559050.0
2016-07-01,165.55,-9.2,-4.9,-5.5,-3.5,-3.6,-9.1,-5.8,-7.0,-3.2,-4.1,-10.0,-3.4,-2.8,0.5,-2.5,-3.5,-1.0,-1.4,3.5,-0.5,70763,209099,302914,180574,14672,1577170,1368072,15413.61,57090.29,31046.64,2624.59,292199.17,185.0,1660.0,-34033.0,257.0,94.0,1319292.0,249579.0,-23538.0,225762.0,1543394.0,1545054.0,1577170.0
2016-10-01,162.39,-10.0,-4.6,-4.8,-1.2,-3.3,-10.0,-4.6,-4.8,-1.2,-3.3,-12.5,-3.5,-2.4,5.7,-2.3,-4.3,-1.7,-1.3,1.2,-0.1,67027,216469,299246,176466,17938,1632808,1416339,14638.32,54022.55,28597.13,2617.98,286623.34,225.0,2539.0,-34066.0,260.0,20.0,1428264.0,202715.0,-29193.0,173276.0,1599002.0,1601540.0,1632808.0
2017-01-01,162.33,-12.0,-1.9,0.1,9.3,0.3,-10.7,-3.2,-2.5,2.7,-1.9,-12.0,-1.9,0.1,9.3,0.3,-1.0,0.9,2.1,2.6,1.0,61602,214472,281511,157953,24615,1585673,1371201,14021.47,51842.16,27240.57,2490.65,286503.68,264.0,1308.0,-35593.0,211.0,114.0,1320381.0,256966.0,-25369.0,231219.0,1550292.0,1551600.0,1585673.0
2017-04-01,165.04,-11.7,-2.1,0.1,8.1,0.5,-11.5,-2.8,-1.3,5.5,-0.9,-11.4,-2.3,0.1,7.0,0.8,-3.0,0.3,0.8,1.2,0.8,59791,216121,292266,173102,22680,1630730,1414609,13665.34,53457.68,29058.17,2587.14,291296.6,127.0,1502.0,-27407.0,154.0,65.0,1369267.0,230223.0,5682.0,235712.0,1603477.0,1604979.0,1630730.0
2017-07-01,168.27,-11.0,-1.5,1.0,6.2,0.9,-11.4,-2.0,0.2,6.1,0.1,-9.5,-0.4,2.7,2.9,1.6,-2.0,0.3,1.6,-2.6,0.2,61104,227377,311513,191241,18854,1648635,1421259,13942.02,56881.62,31899.37,2701.34,296993.3,398.0,1846.0,-31961.0,222.0,65.0,1384763.0,253689.0,-19245.0,233980.0,1616897.0,1618743.0,1648635.0
2017-10-01,166.58,-9.2,-0.5,2.3,4.9,1.3,-9.2,-0.5,2.3,4.9,1.3,-3.7,2.6,6.2,1.2,2.6,2.3,1.1,1.6,-0.1,0.5,62302,255583,312510,183766,24546,1720441,1464858,14103.93,55402.72,30360.32,2650.35,294007.44,136.0,2601.0,-29063.0,320.0,34.0,1500606.0,222286.0,-28424.0,193692.0,1691698.0,1694299.0,1720441.0
2018-01-01,165.42,-5.4,1.3,4.0,-0.9,1.9,-7.6,0.3,3.2,2.5,1.7,-5.4,1.3,4.0,-0.9,1.9,-2.3,0.5,-0.3,2.5,0.6,60238,239501,300093,171168,28118,1682083,1442582,13265.74,52527.68,28340.74,2468.27,291961.51,207.0,-1674.0,-49612.0,226.0,149.0,1403946.0,277544.0,-50112.0,227076.0,1632697.0,1631022.0,1682083.0
2018-04-01,167.71,-4.2,1.2,2.9,0.2,1.8,-5.5,1.1,3.7,1.2,1.9,-3.0,1.2,1.9,1.3,1.6,-0.9,-1.6,-1.2,0.6,-0.1,60159,240325,320865,181562,37451,1734099,1493774,13255.86,54081.77,29606.71,2619.86,296007.16,204.0,1388.0,-39084.0,189.0,87.0,1442215.0,269986.0,-15318.0,254377.0,1695205.0,1696593.0,1734099.0
2018-07-01,171.73,-3.1,1.2,2.4,0.2,1.9,-3.2,1.5,3.3,0.4,2.0,-0.9,1.0,1.5,0.1,2.1,-0.5,1.1,1.7,-3.3,1.0,61627,253690,348407,194742,48026,1767856,1514166,13813.13,57456.11,32385.46,2703.18,303101.87,649.0,-2037.0,-47962.0,254.0,86.0,1481576.0,288910.0,-51640.0,236535.0,1720148.0,1718111.0,1767856.0
2018-10-01,169.17,-3.0,0.7,1.4,0.4,1.8,-3.0,0.7,1.4,0.4,1.8,-2.6,-0.6,-1.6,1.1,1.6,1.3,-0.5,-1.9,1.3,-0.3,61256,259475,343844,189956,47475,1820103,1560628,13730.61,55078.66,29876.8,2678.77,298578.0,198.0,1142.0,-59006.0,235.0,31.0,1591543.0,220838.0,-49679.0,170931.0,1761332.0,1762474.0,1820103.0
2019-01-01,166.91,-1.6,-1.5,-1.2,-9.7,0.9,-2.0,0.0,0.2,-1.7,1.5,-1.6,-1.5,-1.2,-9.7,0.9,-1.1,-0.9,0.2,-9.1,0.3,57218,250823,306190,169674,34690,1757554,1506730,13052.06,51749.69,28005.31,2228.19,294593.02,301.0,-2150.0,-39375.0,301.0,70.0,1488207.0,283239.0,-54745.0,228122.0,1718479.0,1716329.0,1757554.0
2019-04-01,169.68,0.5,-0.9,0.2,-13.6,1.0,-0.7,-0.3,0.1,-6.3,1.4,2.7,-0.4,1.4,-17.3,1.2,3.0,0.6,1.3,-5.7,0.6,60794,249926,343377,193950,43946,1826761,1576835,13611.89,53881.85,30034.56,2167.87,299477.97,113.0,2471.0,-36885.0,97.0,79.0,1540054.0,282696.0,-30114.0,252390.0,1789972.0,1792443.0,1826761.0
2019-07-01,173.64,2.0,-0.8,-0.6,-10.9,1.1,0.8,-0.8,-0.8,-7.8,1.2,4.8,-0.7,-1.9,-5.7,1.1,1.1,0.2,-1.5,8.2,0.0,66335,258350,376960,204888,55560,1880610,1622260,14478.01,57046.23,31760.91,2549.52,306464.95,502.0,2785.0,-62829.0,219.0,149.0,1573198.0,329480.0,-81242.0,247587.0,1818000.0,1820785.0,1880610.0
2019-10-01,172.03,1.9,-0.7,-0.4,-9.1,1.2,1.9,-0.7,-0.4,-9.1,1.2,1.7,-0.1,0.1,-4.2,1.7,-1.0,0.1,0.1,3.4,0.9,64295,273348,359277,194970,48621,1924206,1650858,13958.77,54998.09,29897.07,2566.53,303635.56,156.0,467.0,-60051.0,142.0,76.0,1688733.0,251140.0,-74877.0,176031.0,1864297.0,1864764.0,1924206.0
2020-01-01,167.6,1.1,-1.2,-2.2,3.2,0.4,2.6,-0.6,-0.7,-6.3,1.1,1.1,-1.2,-2.2,3.2,0.4,-1.8,-1.9,-2.1,-1.8,-2.3,65932,261453,336572,173495,47613,1868095,1606642,13191.04,51120.34,27387.34,2298.92,295812.57,352.0,1838.0,-46120.0,175.0,191.0,1556252.0,350657.0,-82378.0,267736.0,1822150.0,1823988.0,1868095.0
2020-04-01,152.48,-4.3,-7.3,-12.2,4.7,-4.9,-0.5,-3.8,-6.4,-0.6,-1.7,-9.5,-13.2,-21.4,6.3,-10.1,-8.0,-11.8,-18.6,-3.3,-8.9,63609,174908,343114,187687,38338,1752724,1577815,12324.29,46795.01,23600.62,2303.6,269117.78,155.0,3336.0,-15412.0,144.0,202.0,1448584.0,256148.0,36417.0,292208.0,1737456.0,1740792.0,1752724.0
2020-07-01,168.37,-3.5,-4.7,-8.0,3.4,-4.3,-2.2,-3.6,-6.0,1.3,-2.8,-1.9,0.0,-0.5,1.3,-3.0,9.2,15.4,24.8,3.0,7.9,70916,268286,405248,229621,50149,1929323,1661037,14198.62,57072.16,31602.12,2581.45,297161.63,551.0,3456.0,-49201.0,161.0,111.0,1567147.0,310641.0,6614.0,316593.0,1880283.0,1883740.0,1929323.0
2020-10-01,171.46,-2.1,-3.0,-4.7,0.9,-3.3,-2.1,-3.0,-4.7,0.9,-3.3,2.0,2.2,5.4,-6.1,-0.3,3.6,2.5,6.1,-3.8,3.8,67465,310013,399403,222886,57515,2059455,1749443,14237.53,56221.4,31522.06,2409.84,302621.73,-335.0,2268.0,-48620.0,112.0,20057.0,1765225.0,308903.0,-41191.0,247991.0,2010948.0,2013216.0,2059455.0
2021-01-01,170.53,9.5,6.2,7.7,-1.4,1.7,-0.1,-1.2,-2.4,-0.2,-2.9,9.5,6.2,7.7,-1.4,1.7,5.3,1.7,-0.6,3.1,0.9,68968,301477,426822,226859,80703,2156670,1855194,14447.77,54301.35,29505.16,2267.39,300988.64,233.0,5626.0,-67448.0,127.0,133.0,1647266.0,558111.0,-110036.0,447709.0,2089349.0,2094975.0,2156670.0
2021-04-01,171.38,14.2,12.2,16.7,3.0,6.8,6.7,6.3,8.8,0.1,2.4,19.1,18.7,27.0,7.3,12.4,-0.2,-1.6,-3.9,4.9,-0.7,64970,297586,493040,262597,110478,2203639,1906053,14680.74,55564.38,29975.27,2472.34,302479.09,108.0,2839.0,-47378.0,68.0,-24.0,1717795.0,396312.0,45145.0,441373.0,2156329.0,2159168.0,2203639.0
2021-07-01,175.46,13.8,8.2,9.5,3.2,5.9,10.7,6.7,8.5,0.7,4.3,13.0,1.4,-1.9,3.5,4.2,3.8,-1.1,-3.4,-0.5,0.1,71862,339513,555769,298234,126525,2295851,1956338,16050.83,57885.22,30993.82,2672.63,309680.93,415.0,3442.0,-83592.0,185.0,44.0,1821389.0,432366.0,-37411.0,394496.0,2212443.0,2215885.0,2295851.0
2021-10-01,173.96,12.6,5.0,3.8,3.6,4.8,12.6,5.0,3.8,3.6,4.8,9.4,-3.8,-11.3,4.8,1.5,0.5,-2.7,-3.7,-2.4,1.3,69311,359567,518168,285149,107162,2355982,1996415,15578.88,54092.98,27948.6,2526.62,307035.75,226.0,3908.0,-83293.0,163.0,77.0,2015657.0,372551.0,-111145.0,261104.0,2272853.0,2276761.0,2355982.0
2022-01-01,173.05,7.3,-2.3,-6.4,-0.5,1.5,12.0,2.9,0.3,3.8,4.7,7.3,-2.3,-6.4,-0.5,1.5,3.0,3.3,5.1,-2.5,0.7,67559,336346,494170,265914,100116,2319528,1983182,15497.89,53051.76,27618.15,2255.8,305423.35,368.0,3531.0,-60637.0,60.0,77.0,1860369.0,463568.0,-61010.0,402113.0,2258952.0,2262482.0,2319528.0
2022-04-01,177.45,8.1,-0.6,-3.8,-2.0,2.5,9.6,-0.9,-5.3,1.1,2.7,8.9,1.1,-1.3,-3.4,3.5,1.2,1.5,0.8,1.6,1.1,71232,332005,594970,343509,123757,2517481,2185477,15990.88,56164.42,29592.06,2387.81,313198.51,-104.0,4892.0,-43327.0,119.0,101.0,2020722.0,454877.0,3563.0,458443.0,2474274.0,2479166.0,2517481.0
2022-07-01,183.04,7.5,0.5,-1.9,-2.4,3.1,8.0,-0.6,-4.4,-0.6,2.7,6.4,2.6,1.6,-3.0,4.3,1.8,0.5,-0.5,0.6,1.0,77033,341662,617098,362419,136362,2601182,2259520,17078.81,59413.27,31501.78,2593.73,323064.76,481.0,5170.0,-93129.0,190.0,136.0,2088649.0,511925.0,-86544.0,424765.0,2508243.0,2513413.0,2601182.0
2022-10-01,178.65,6.8,1.5,-0.5,-1.4,3.0,6.8,1.5,-0.5,-1.4,3.0,5.0,4.6,4.0,1.5,2.7,-1.0,-0.6,-1.2,1.9,0.4,78216,333188,593889,345984,116441,2641485,2308297,16351.83,56588.36,29063.53,2563.69,315307.04,170.0,3990.0,-95601.0,156.0,46.0,2241801.0,392864.0,-84420.0,308229.0,2546040.0,2550030.0,2641485.0
2023-01-01,180.74,1.7,1.6,-1.4,8.9,4.4,5.5,2.5,0.7,0.8,3.8,1.7,1.6,-1.4,8.9,4.4,-0.3,0.2,-0.5,4.2,1.4,74974,320315,562977,332074,98453,2581018,2260703,15756.75,53897.36,27224.62,2456.9,318997.4,468.0,2418.0,-82510.0,263.0,98.0,2070711.0,478124.0,-47079.0,430479.0,2498772.0,2501190.0,2581018.0
2023-04-01,184.28,1.2,1.3,-1.8,9.0,4.1,3.5,2.4,0.5,3.8,3.8,0.8,0.9,-2.1,9.2,3.9,0.2,0.8,0.0,1.9,0.8,81041,337372,603144,366289,93058,2727580,2390208,16117.7,56688.24,28979.43,2606.58,325257.49,137.0,3147.0,-72040.0,199.0,110.0,2198357.0,443471.0,17304.0,460528.0,2655738.0,2658885.0,2727580.0
2023-07-01,187.35,-0.8,1.2,-1.5,8.6,3.5,0.6,2.0,-0.2,6.8,3.3,-4.5,1.2,-1.0,7.8,2.4,-3.1,0.7,0.4,0.1,0.1,84188,363010,620226,386270,98746,2769445,2406436,16317.93,60104.49,31183.94,2796.71,330673.02,528.0,3708.0,-90677.0,386.0,115.0,2255698.0,444722.0,-16914.0,427165.0,2679155.0,2682863.0,2769445.0
2023-10-01,182.9,-0.3,1.7,-1.3,9.2,3.2,-0.3,1.7,-1.3,9.2,3.2,1.1,3.0,-0.6,11.0,2.4,4.3,1.5,-0.3,4.6,0.3,87874,364055,636966,365707,112022,2865301,2501246,16525.42,58307.65,28888.36,2846.5,322813.14,146.0,1981.0,-103460.0,600.0,44.0,2445158.0,358426.0,-38972.0,319264.0,2762442.0,2764423.0,2865301.0
2024-01-01,185.18,2.0,3.0,1.7,6.0,2.5,-0.2,2.0,-0.5,8.5,2.8,2.0,3.0,1.7,6.0,2.5,0.8,0.6,1.6,0.4,0.8,85906,382593,572315,320519,101211,2764833,2382240,16073.71,55491.92,27698.17,2603.64,326845.79,298.0,3892.0,-88012.0,630.0,23.0,2260405.0,485073.0,-63814.0,420939.0,2677451.0,2681344.0,2764833.0
2024-04-01,190.68,3.2,3.5,2.9,3.5,3.0,0.7,2.8,1.0,6.5,2.7,4.4,4.0,3.9,1.1,3.5,2.4,0.5,2.2,-5.2,1.7,91932,403900,619057,356674,104731,2934759,2530859,16824.8,58932.7,30124.07,2636.48,336547.53,32.0,4871.0,-81326.0,543.0,30.0,2385875.0,511460.0,-38426.0,472972.0,2853976.0,2858847.0,2934759.0
2024-07-01,195.1,4.2,3.4,3.4,1.9,3.4,3.4,3.3,2.4,4.2,3.1,6.0,3.3,4.3,-0.9,4.1,-1.3,0.7,0.8,-0.1,0.8,89985,433880,643971,379973,112853,3015936,2582056,17294.94,62070.33,32534.84,2771.85,344351.67,666.0,5714.0,-105398.0,703.0,31.0,2478600.0,546447.0,-107395.0,438356.0,2911242.0,2916956.0,3015936.0
2024-10-01,189.45,4.4,3.1,3.9,0.5,3.4,4.4,3.1,3.9,0.5,3.4,4.9,2.2,5.3,-3.6,3.6,2.9,0.4,0.7,1.3,0.0,91259,444775,631313,369396,110815,3063723,2618948,17340.06,59566.36,30422.31,2744.77,334369.91,1391.0,8349.0,-121235.0,779.0,40.0,2619614.0,457305.0,-123872.0,332003.0,2943268.0,2951617.0,3063723.0
2025-01-01,191.02,3.0,2.4,2.5,1.2,3.1,4.6,3.0,4.1,-0.6,3.6,3.0,2.4,2.5,1.2,3.1,-0.8,0.1,-1.2,3.8,1.5,96348,425166,592624,330723,105661,3024723,2599557,16562.4,56829.09,28398.78,2635.35,337137.92,1238.0,5301.0,-98845.0,805.0,33.0,2455381.0,606819.0,-128946.0,476602.0,2926682.0,2931983.0,3024723.0
2025-04-01,195.18,1.6,1.7,1.1,5.0,2.7,3.5,2.2,3.0,1.3,3.3,0.2,1.1,-0.2,8.8,2.4,-0.6,0.6,-0.4,5.0,0.3,102540,428628,643604,375514,100722,3200345,2771717,16864.22,59576.85,30063.61,2869.11,344489.44,-198.0,7311.0,-89034.0,377.0,39.0,2590349.0,581587.0,-53096.0,528650.0,3111688.0,3118999.0,3200345.0
2025-07-01,198.66,1.7,1.7,0.5,7.4,2.4,2.5,1.8,1.6,4.5,2.7,2.0,1.7,-0.6,11.9,1.8,0.6,0.7,0.2,1.5,0.0,104277,449349,682155,410990,101006,3235708,2786359,17642.73,63128.97,32323.63,3102.37,350631.43,721.0,6555.0,-115709.0,434.0,31.0,2657157.0,575334.0,-104751.0,469830.0,3120433.0,3126987.0,3235708.0
2025-10-01,192.94,0.5,1.4,-0.2,8.6,2.3,0.5,1.4,-0.2,8.6,2.3,-2.9,0.6,-2.0,12.0,1.8,-2.3,-0.7,-0.6,1.1,0.1,100203,483441,648431,382391,96210,3277790,2794349,16832.12,59938.46,29805.85,3073.29,340533.46,-316.0,9997.0,-112899.0,424.0,36.0,2815861.0,411497.0,-52325.0,359452.0,3165315.0,3175313.0,3277790.0
