year,industry_gdp_pct__AUS,industry_gdp_pct__BRA,industry_gdp_pct__CAN,industry_gdp_pct__CHL,industry_gdp_pct__CHN,industry_gdp_pct__RUS,industry_gdp_pct__USA,industry_gdp_pct__ZAF,mining_rents_pct_gdp__AUS,mining_rents_pct_gdp__BRA,mining_rents_pct_gdp__CAN,mining_rents_pct_gdp__CHL,mining_rents_pct_gdp__CHN,mining_rents_pct_gdp__RUS,mining_rents_pct_gdp__USA,mining_rents_pct_gdp__ZAF,gdp_growth__AUS,gdp_growth__BRA,gdp_growth__CAN,gdp_growth__CHL,gdp_growth__CHN,gdp_growth__RUS,gdp_growth__USA,gdp_growth__ZAF,gdp_per_capita__AUS,gdp_per_capita__BRA,gdp_per_capita__CAN,gdp_per_capita__CHL,gdp_per_capita__CHN,gdp_per_capita__RUS,gdp_per_capita__USA,gdp_per_capita__ZAF,exports_goods_services_pct_gdp__AUS,exports_goods_services_pct_gdp__BRA,exports_goods_services_pct_gdp__CAN,exports_goods_services_pct_gdp__CHL,exports_goods_services_pct_gdp__CHN,exports_goods_services_pct_gdp__RUS,exports_goods_services_pct_gdp__USA,exports_goods_services_pct_gdp__ZAF,ore_metals_exports_pct__AUS,ore_metals_exports_pct__BRA,ore_metals_exports_pct__CAN,ore_metals_exports_pct__CHL,ore_metals_exports_pct__CHN,ore_metals_exports_pct__RUS,ore_metals_exports_pct__USA,ore_metals_exports_pct__ZAF,fuel_exports_pct__AUS,fuel_exports_pct__BRA,fuel_exports_pct__CAN,fuel_exports_pct__CHL,fuel_exports_pct__CHN,fuel_exports_pct__RUS,fuel_exports_pct__USA,fuel_exports_pct__ZAF,gfcf_pct_gdp__AUS,gfcf_pct_gdp__BRA,gfcf_pct_gdp__CAN,gfcf_pct_gdp__CHL,gfcf_pct_gdp__CHN,gfcf_pct_gdp__RUS,gfcf_pct_gdp__USA,gfcf_pct_gdp__ZAF,inflation_cpi__AUS,inflation_cpi__BRA,inflation_cpi__CAN,inflation_cpi__CHL,inflation_cpi__CHN,inflation_cpi__RUS,inflation_cpi__USA,inflation_cpi__ZAF,unemployment__AUS,unemployment__BRA,unemployment__CAN,unemployment__CHL,unemployment__CHN,unemployment__RUS,unemployment__USA,unemployment__ZAF,total_natural_resources_rents__AUS,total_natural_resources_rents__BRA,total_natural_resources_rents__CAN,total_natural_resources_rents__CHL,total_natural_resources_rents__CHN,total_natural_resources_rents__RUS,total_natural_resources_rents__USA,total_natural_resources_rents__ZAF
1960,,0.0,,34.9892294367181,44.2951197990905,,,32.4691950712114,,,,,,,,,,,,,,,,,1813.43109917039,235.266009502589,2264.94849658191,516.487539077836,89.7150749167731,,2999.86487154495,532.147504330332,12.951499489152,6.28181356216762,,12.7427185864127,3.14649701726736,,,25.5880940950552,,,,,,,,,,,,,,,,,30.2181621491676,,,14.448274487813,32.5754345754429,,,17.4747959673548,3.72881355932203,,1.35869565217392,,,,1.45797598627791,1.28887692687992,,,,,,,,,,,,,,,,
1961,,0.0,,34.9331124463066,31.8649283342781,,,32.7162367223065,,,,,,,,,2.48085739405019,8.60000000000014,3.16329168371298,5.51961070344885,-27.2700000038883,,2.29999999999977,3.84473414174089,1880.48489498232,231.564063269854,2246.08356619252,594.436306222113,75.9655011127574,,3059.16082086127,545.657511922673,12.3629339242089,6.42021675517618,17.5829190760648,11.1295189323154,3.00147724389829,,,25.3414264036419,,,,,,,,,,,,,,,,,30.2425998522811,,22.3622980369595,14.9561986156364,18.9512721111021,,,16.8133535660091,2.28758169934641,,1.01876675603211,,,,1.07072414764724,2.10235059955978,,,,,,,,,,,,,,,,
1962,,0.0,,36.8119948041159,31.2440971924101,,,32.8530670470756,,,,,,,,,1.29693177230521,6.59999999999992,7.42783736424002,3.93078479110629,-5.57999999019671,,6.10000000000011,6.17793085042746,1857.56127281956,250.200572910273,2274.4284708191,678.584336588862,71.0616845971262,,3236.01311150062,563.423008817945,13.897620116749,4.00847871772255,17.5722245631189,11.0860645266395,3.18187809249592,,,25.4636233951498,,8.59181048029712,24.0715893122717,87.0551340526261,,,3.97474148584131,,,0.612005555642229,8.78781587742788,0.00700569783726838,,,3.75183822542366,,29.7429277054333,,21.7116757776481,15.1146380937603,15.4459637589079,,,16.1911554921541,-0.319488817891379,,1.06157112526535,,,,1.19877334820186,1.24627519965495,,,,,,,,,,,,,,,,
1963,,0.0,,38.7327722913936,33.0002398273243,,,33.2774409905843,,,,,,,,,6.21437634985244,0.600000000000065,5.29743988916486,5.68667190016438,10.2999999963989,,4.39999999999982,7.37370924877223,1970.17748417817,294.169619376733,2380.31732899108,657.719196593697,74.4681540864463,,3366.36978960346,604.536855270991,12.9633475236216,8.93314544401188,17.9318897487542,12.0580300116494,3.279427154169,,,24.8419966464594,6.05237449941595,7.17038527834609,23.7058931651352,87.2819535818357,,,4.0676449327757,,3.09052904083863,0.66962834270723,5.0246924483559,0.00708478711880827,,,4.1250641516366,,29.5140691516976,,21.5388082365907,16.20668141166,17.7195088576225,,,18.2123049142268,0.641025641025652,,1.62815126050428,,,,1.23966942148753,1.33797064490693,,,,,,,,,,,,,,,,
1964,,0.0,,39.600174368829,35.2617641067427,,,34.192037470726,,,,,,,,,6.97757189326991,3.39999999999985,6.65599998308328,2.46113427734542,18.1799999938203,,5.8000000000003,7.93960864480677,2134.48946124608,257.259726897671,2561.63849088572,685.970202891974,85.6611074645449,,3565.31443016356,645.873375685446,14.8905178084766,6.46099666497353,18.9849060374088,12.0441503024268,3.24105588221634,,,23.8056206088993,7.70411614448051,7.40814327924099,22.7375188121932,87.0978121101519,,,4.53292692285744,,2.7926183983889,0.186358952541575,4.96141517352278,0.00893218199591198,,,3.49418505430138,,30.0065783291044,,22.8860167482623,15.5036771538963,20.2270029333877,,,19.7423887587822,2.86624203821656,,1.91214470284237,,,,1.27891156462591,2.53498854234898,,,,,,,,,,,,,,,,
1965,,0.0,,39.3872553446774,35.0276306700437,,,35.1687198714515,,,,,,,,,5.97750537090864,2.40000000000001,6.31720005153649,0.670838636062939,16.9500000038699,,6.39999999999981,6.12279809601442,2284.35582738664,268.028760553723,2777.18317301162,686.123541995524,98.6681688740435,,3818.28825117968,684.62122774035,13.1786283204891,7.50316443059153,18.2919573688229,13.1158083669341,3.18368644911352,,,22.2924477771826,9.54016036487875,9.01042993333555,23.227339304779,88.8354589527403,,,4.53289874831286,,3.14492325035777,0.000485497404061802,5.08876133658409,0.00675948785661161,,,3.50513775253345,,31.0543763723253,,24.2229242439776,15.0459514567887,20.6043533444624,,,22.0460632029995,3.40557275541795,,2.33265720081135,,,,1.58516926383662,4.06901853294584,,,,,,,,,,,,,,,,
1966,,0.0,,38.6993026696801,37.8118393234672,,,34.765047778544,,,,,,,,,2.3810335009272,6.7000000000001,6.75969011988171,11.4634218589357,10.6499999984174,,6.50000000000021,4.43838608946889,2347.37656646515,328.343791519407,3055.28807884507,790.361773771396,104.50646350178,,4136.30829579106,721.75375941418,12.8916008026537,6.53020390757968,19.0609638815139,14.1540048756479,3.08454778826638,,,21.9781302334745,10.2280232370207,8.11269107085197,21.3456880157915,87.6868355144257,,,4.39582427726817,,3.47381524557627,,4.8380132372622,0.00551741936177497,,,3.26933921698858,,32.2208116630493,,25.1605329404338,14.5265879203969,21.7861098784355,,,21.4264604472466,3.29341317365269,,3.81565906838453,,,,3.0150753768844,3.48923715385175,,,,,,,,,,,,,,,,
1967,,0.0,,39.258980785178,33.8266384778013,,,33.3864259800018,,,,,,,,,6.30689948609215,4.2,3.06542080784173,3.58811073177469,-5.77000000405148,,2.49999999999999,7.19652306514106,2583.9075241973,351.472600370379,3226.38273682011,764.265128656993,96.7614480104016,,4325.95935063186,778.839335829791,12.8430256052313,5.67719217542334,19.9393599383756,13.8754979421584,2.95280114994993,,,21.3963366073799,11.4818312953976,7.86351167923088,21.3369212304979,89.2123609912456,,,4.44412811254761,,3.70859185590197,0.050408789912482,5.2872589460858,0.130004738213693,,,3.54566254677117,,31.3875316850961,,24.1158570041829,14.6101075754027,18.1452474685657,,,20.2548447040085,3.47826086956522,,3.57995226730312,,,,2.77278562259309,3.53896580236233,,,,,,,,,,,,,,,,
1968,,0.0,,40.6401338938751,31.05184846057,,,33.4041857423152,,,,,,,,,5.09512980987455,9.79999999999998,5.00827404258794,3.57371701447551,-4.09999998647768,,4.7999999999997,4.15337298293346,2728.23426114901,373.925432639683,3473.23722551871,765.847401648627,91.6454581848979,,4684.58840293763,817.128340614066,12.2585717704167,5.99087444407956,20.8229173491378,13.5209343390996,2.97927634903285,,,21.9587965990844,15.5846836545475,7.54903190275217,21.2363811259702,88.6932374207234,,,4.50093662031963,,4.64352725082732,0.0339045420876149,5.1343535345561,0.0967660823532469,,,3.09216193431342,,32.4342802447612,,22.5322901497753,15.1828516367907,17.3342102781275,,,19.9068018312623,2.52100840336134,,4.05529953917047,,,,4.27179615288537,1.98613362103222,,,,,,,,,,,,,,,,
1969,,0.0,,42.2803070058237,35.3563616014651,,,33.776808433297,,,,,,,,,7.04760243224727,9.49999999999993,5.06703236278922,4.10317976748962,16.9399999960609,,3.09999999999999,4.71590286722241,2995.86119857452,399.49841913391,3776.15613110238,873.581889905917,100.308139479526,,5019.99818634473,890.922089102936,11.9169562831535,6.67156538418794,20.8441208693756,15.8956424620006,2.77326409498398,,,20.0436205016358,17.8581092932437,8.12826487593064,18.2640812983071,88.3594646868822,,,5.03147990952602,,4.84659354267146,0.144149331388812,5.40691125323815,0.0647354344195658,,,3.01682199217479,,31.3365038717151,,22.4522830394683,14.7168687769674,20.9452792694714,,,20.2544529262087,3.27868852459016,,4.56155890168292,,,,5.46238620028745,3.23821721585667,,,,,,,,,,,,,,,,
